subject,gender,sentence,context,pitch
M3,male,S2,informal,199.7
M3,male,S3,formal,160.2
M3,male,S3,informal,186.1
M3,male,S4,formal,207.5
M3,male,S4,informal,190.9
M3,male,S5,formal,160.7
M3,male,S5,informal,156.5
M3,male,S6,formal,146.7
M3,male,S6,informal,158
M3,male,S7,informal,161.1
M3,male,S7,formal,153.3
M4,male,S1,formal,111.3
M4,male,S1,informal,123.1
M4,male,S2,formal,229.2
M4,male,S2,informal,115.5
M4,male,S3,formal,124.6
M4,male,S3,informal,213.5
M4,male,S4,formal,193.3
M4,male,S4,informal,165
M4,male,S5,formal,101.2
M4,male,S5,informal,127
M4,male,S6,formal,NA
M4,male,S6,informal,137.4
M4,male,S7,informal,145.1
M4,male,S7,formal,168
M5,male,S1,formal,87.7
M5,male,S1,informal,100.1
M5,male,S2,formal,90
M5,male,S2,informal,108.1
M5,male,S3,formal,96.8
M5,male,S3,informal,139.2
M5,male,S4,formal,86.5
M5,male,S4,informal,99.5
M5,male,S5,formal,92.8
M5,male,S5,informal,93.2
M5,male,S6,formal,86.8
M5,male,S6,informal,117.3
M5,male,S7,informal,94.2
M5,male,S7,formal,109.2
M6,male,S1,formal,NA
M6,male,S1,informal,107.4
M6,male,S2,formal,NA
M6,male,S2,informal,106.4
M6,male,S3,formal,104.6
M6,male,S3,informal,131.3
M6,male,S4,formal,118.5
M6,male,S4,informal,157.4
M6,male,S5,formal,116.5
M6,male,S5,informal,113.2
M6,male,S6,formal,114.7
M6,male,S6,informal,110.5
M6,male,S7,informal,125
M6,male,S7,formal,108
M7,male,S1,formal,87
M7,male,S1,informal,98.8
M7,male,S2,formal,80.8
M7,male,S2,informal,118.7
M7,male,S3,formal,86.3
M7,male,S3,informal,111.2
M7,male,S4,formal,102.1
M7,male,S4,informal,135
M7,male,S5,formal,92.6
M7,male,S5,informal,103.2
M7,male,S6,formal,108.7
M7,male,S6,informal,107.7
M7,male,S7,informal,123.2
M7,male,S7,formal,107.4
